# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◎=l (Layer 3), ◆=s (Layer 4)

# シフト
d	★
k	☆
l	◎
s	◆

# No Shift (ベース)
q	ご
w	を
e	ち
r	ぷ
t	ぐ
y	ぴ
u	ぎょ
i	みゅ
o	や
p	め
a	ん
f	い
g	だ
h	きゅ
j	う
;	し
z	ぞ
x	ら
c	ゅ
v	む
b	わ
n	ひょ
m	ね
,	、
.	。
/	え

# ☆シフト (k前置)
☆q	ぁ
☆w	ヴぁ
☆e	ぢ
☆r	ぶ
☆t	ぎゃ
☆y	きゃ
☆u	みょ
☆a	でゅ
☆s	に
☆d	な
☆f	ど
☆g	よ
☆h	さ
☆j	る
☆k	り
☆l	じゃ
☆z	ぅ
☆x	にゅ
☆c	ざ
☆v	べ
☆b	じょ
☆n	ヴ
☆m	ろ
☆,	；
☆.	・

# ★シフト (d前置)
★r	ぱ
★t	づ
★y	ぴゃ
★u	ちぇ
★i	み
★o	ぺ
★p	ぜ
★s	ほ
★d	と
★f	ょ
★g	で
★h	か
★j	け
★k	も
★l	が
★;	せ
★v	びゅ
★b	かぁ
★n	きょ
★m	でぃ
★,	うぉ
★.	じゅ
★/	うぇ

# ◎シフト (l前置)
◎q	ぎゅ
◎w	ひゃ
◎e	ず
◎r	ふぇ
◎t	ゆ
◎y	ぬ
◎u	げ
◎i	みゃ
◎a	つ
◎s	こ
◎d	す
◎f	そ
◎g	てぃ
◎h	りょ
◎j	は
◎k	っ
◎z	ゃ
◎x	へ
◎c	しぇ
◎v	ぼ
◎b	び
◎n	じ
◎m	じぇ
◎,	ねぇ
◎.	ば

# ◆シフト (s前置)
◆e	ぴょ
◆r	ふ
◆t	ぎ
◆y	ふぉ
◆u	ぽ
◆i	みぃ
◆o	にょ
◆p	ぇ
◆d	た
◆f	あ
◆g	ま
◆h	くぉ
◆j	お
◆k	れ
◆l	の
◆;	ー
◆c	りゃ
◆v	はぁ
◆b	びゃ
◆n	き
◆m	く
◆,	ねぃ
◆.	ぃ
◆/	ぉ
