# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◎=l (Layer 3), ◆=s (Layer 4)

# シフト
d	★
k	☆
l	◎
s	◆

# No Shift (ベース)
q	ど
w	て
e	な
r	お
t	よ
y	み
u	あ
i	と
o	た
p	そ
a	ん
f	い
g	さ
h	ら
j	う
;	し
z	ゅ
x	れ
c	を
v	き
b	わ
n	だ
m	か
,	、
.	。
/	え

# ☆シフト (k前置)
☆q	ぺ
☆w	ほ
☆e	ろ
☆r	きょ
☆t	ぬ
☆y	ぴょ
☆u	へ
☆a	ち
☆s	に
☆d	こ
☆f	く
☆g	ぐ
☆h	しゃ
☆j	る
☆k	ひゃ
☆l	ぢ
☆z	きゃ
☆x	にゅ
☆c	ざ
☆v	しょ
☆b	ぉ
☆n	ぇ
☆m	め
☆,	；
☆.	・

# ★シフト (d前置)
★r	ぷ
★t	くぉ
★y	きゅ
★u	ま
★i	ば
★o	や
★p	びょ
★s	みょ
★d	みゅ
★f	ふ
★g	ひゅ
★h	ちょ
★j	ぴゅ
★k	は
★l	の
★;	せ
★v	ぎょ
★b	ぴゃ
★n	しぇ
★m	ぶ
★,	び
★.	ひょ
★/	みゃ

# ◎シフト (l前置)
◎q	ぎゅ
◎w	げ
◎e	ぎ
◎r	ゆ
◎t	ヴ
◎y	びゃ
◎u	づ
◎i	ぃ
◎a	け
◎s	ょ
◎d	じ
◎f	で
◎g	ちゅ
◎h	りょ
◎j	も
◎k	す
◎z	にょ
◎x	じゃ
◎c	ぱ
◎v	しゅ
◎b	にゃ
◎n	ぴ
◎m	ゃ
◎,	;
◎.	・

# ◆シフト (s前置)
◆e	つ
◆r	ふぃ
◆t	っ
◆y	ひ
◆u	うぃ
◆i	ね
◆o	ご
◆p	ぅ
◆d	てぃ
◆f	り
◆g	ねぃ
◆h	かぁ
◆j	うぉ
◆k	ヴぁ
◆l	が
◆;	ー
◆c	ぽ
◆v	ふぁ
◆b	まぁ
◆n	ぁ
◆m	〓ぉ
◆,	ぼ
◆.	ちゃ
◆/	りゃ
