# 新月配列 v2.0 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◎=l (Layer 3), ◆=s (Layer 4)

# シフト
d	★
k	☆
l	◎
s	◆

# No Shift (ベース)
q	そ
w	わ
f	ゆ
p	ぷ
g	や
j	ヴ
l	ひょ
u	ふ
y	ー
;	ぎょ
a	か
t	とぅ
d	た
h	ん
n	う
o	し
z	ゃ
x	び
c	ま
v	ゅ
b	ば
k	みゃ
m	く
,	、
.	。
/	ぃ

# ☆シフト (k前置)
☆q	ぁ
☆w	ひゅ
☆f	ぱ
☆p	ふぇ
☆g	ぐ
☆j	ぬ
☆l	ぴ
☆a	る
☆r	を
☆s	じ
☆t	なぁ
☆d	よ
☆h	っ
☆n	うぇ
☆e	す
☆i	きょ
☆z	ざ
☆x	へ
☆c	ぞ
☆v	ヴぁ
☆b	べ
☆k	じぇ
☆m	きゃ
☆,	；
☆.	・

# ★シフト (d前置)
★p	ふぃ
★g	ぎゃ
★j	ぴゃ
★l	ぴょ
★u	み
★y	ぎ
★;	ぇ
★r	に
★s	こ
★t	でぃ
★d	ど
★h	ち
★n	お
★e	れ
★i	は
★o	つ
★v	ず
★b	ぼ
★k	む
★m	くぉ
★,	じょ
★.	びゅ
★/	ぉ

# ◎シフト (l前置)
◎q	ぽ
◎w	づ
◎f	ほ
◎p	ふぉ
◎g	ご
◎j	にゅ
◎l	ぴゅ
◎u	みぃ
◎a	が
◎r	の
◎s	け
◎t	ょ
◎d	だ
◎h	め
◎n	あ
◎e	も
◎z	じゅ
◎x	しゅ
◎c	せ
◎v	かぁ
◎b	びょ
◎k	じゃ
◎m	きゅ
◎,	ねぃ

# ◆シフト (s前置)
◆f	ぶ
◆p	ふぁ
◆g	げ
◆j	ぎゅ
◆l	にょ
◆u	みゅ
◆y	にゃ
◆;	ぺ
◆s	ら
◆t	て
◆d	さ
◆h	まぁ
◆n	え
◆e	い
◆i	りゅ
◆o	ろ
◆c	ぜ
◆v	りょ
◆b	びゃ
◆k	りゃ
◆m	き
◆,	ねぇ
◆.	うぃ
◆/	うぉ
