# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	よ
w	こ
f	が
p	て
g	ぐ
j	つ
l	ゅ
u	く
y	に
;	を
a	か
r	し
t	う
d	た
h	と
n	ん
i	い
o	の
z	じ
x	け
c	き
v	な
b	さ
k	っ
m	る
,	、
.	。
/	ー

# ☆シフト (e前置)
☆q	ぽ
☆w	ひ
☆f	ぶ
☆p	ぷ
☆g	げ
☆j	ぺ
☆l	ご
☆u	ゆ
☆y	ゔ
☆;	ぢ
☆a	だ
☆r	す
☆s	ら
☆t	あ
☆d	せ
☆h	ど
☆n	ょ
☆e	ま
☆i	え
☆o	ほ
☆z	ぜ
☆x	へ
☆c	ば
☆v	ね
☆b	べ
☆k	む
☆m	ゃ
☆,	；
☆.	・
☆/	ぴ

# ★シフト (s前置)
★q	ぁ
★w	ず
★p	ぱ
★g	ぎ
★j	ぬ
★l	ぃ
★u	み
★y	や
★;	ぇ
★a	ふ
★r	り
★s	は
★t	お
★d	ち
★h	そ
★n	で
★e	も
★i	わ
★o	れ
★z	ぅ
★x	ぉ
★v	ざ
★b	ぼ
★k	ぞ
★m	ろ
★,	め
★.	び
★/	づ
