# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	そ
w	わ
f	が
p	だ
g	ぐ
j	つ
l	よ
u	く
y	ゆ
;	を
a	か
r	し
t	う
d	た
h	と
n	ん
i	い
o	の
z	じ
x	け
c	も
v	ば
b	さ
k	め
m	ゅ
,	、
.	。
/	ぃ

# ☆シフト (e前置)
☆q	げ
☆w	ひ
☆f	ほ
☆p	ぷ
☆g	ぎ
☆j	ぢ
☆l	ぼ
☆u	づ
☆y	や
☆;	ご
☆a	す
☆r	き
☆s	ら
☆t	あ
☆d	て
☆h	ま
☆n	ど
☆e	で
☆i	え
☆o	っ
☆z	ぜ
☆x	へ
☆c	せ
☆v	ね
☆b	び
☆k	む
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (s前置)
★q	ぽ
★w	ぱ
★p	ふ
★g	ず
★j	ぬ
★l	ぺ
★u	み
★y	ぴ
★;	ぇ
★a	ち
★r	こ
★s	は
★t	お
★d	な
★h	れ
★n	ょ
★e	る
★i	り
★o	に
★z	ぅ
★x	ぞ
★v	ざ
★b	ぶ
★k	ゔ
★m	ゃ
★,	べ
★.	ー
★/	ぁ
