74569	い	1
59235	う	1
58709	ん	1
54550	〓	1
48069	し	1
39537	か	1
38367	の	1
37984	と	1
33853	た	1
28750	、	1
27725	て	1
27579	く	1
27521	な	1
27389	に	1
26011	き	1
24910	は	1
24434	こ	1
24368	る	1
23560	。	1
23074	が	1
21789	で	1
21418	っ	1
21000	す	1
19322	ま	1
18329	じ	1
17904	り	1
17888	も	1
16984	つ	1
16377	お	1
16103	ら	1
15893	を	1
15693	さ	1
15658	あ	1
14594	れ	1
13722	だ	1
13140	ち	1
12513	せ	1
11952	け	1
11000	ー	1
10960	よ	1
10627	ど	1
9878	そ	1
9211	え	1
8665	わ	1
7980	み	1
7755	め	1
7729	ひ	1
6925	ば	1
6876	や	1
6643	ろ	1
6605	ほ	1
6341	しょ	2
5639	ふ	1
5232	ぶ	1
4595	ね	1
4406	ご	1
4353	ぎ	1
4319	じょ	2
4068	げ	1
3740	しゅ	2
3725	む	1
3443	きょ	2
3173	ず	1
3029	び	1
2925	しゃ	2
2859	ちょ	2
2565	ざ	1
2422	ぐ	1
2360	ぜ	1
2323	へ	1
2275	べ	1
2174	ゆ	1
2041	じゅ	2
1974	ぼ	1
1949	ぷ	1
1915	りょ	2
1793	ぞ	1
1747	ぱ	1
1420	きゅ	2
1272	ちゅ	2
1211	ぎょ	2
1193	ぽ	1
841	にゅ	2
826	ひょ	2
781	づ	1
781	じゃ	2
737	ちゃ	2
732	ぴ	1
575	ぬ	1
542	てぃ	2
501	りゅ	2
482	ぺ	1
437	きゃ	2
387	ふぁ	2
320	でぃ	2
188	しぇ	2
184	びょ	2
175	りゃ	2
160	ふぃ	2
158	ちぇ	2
155	ぎゃ	2
146	うぇ	2
140	なぁ	2
135	ふぇ	2
105	ぴょ	2
94	ぴゅ	2
92	じぇ	2
91	ふぉ	2
83	ヴ	1
83	びゅ	2
78	ぢ	1
75	みょ	2
66	ひゃ	2
66	みゅ	2
60	ぎゅ	2
56	みぃ	2
46	ヴぁ	2
42	うぃ	2
39	にょ	2
37	ねぇ	2
29	まぁ	2
20	ねぃ	2
18	〓ぉ	2
18	でゅ	2
17	みゃ	2
16	うぉ	2
16	かぁ	2
16	にゃ	2
15	とぅ	2
11	くぉ	2
11	ひゅ	2
10	はぁ	2
10	へぇ	2
10	りぃ	2
9	ぎぃ	2
9	だぁ	2
8	おぉ	2
8	しぃ	2
8	どぅ	2
8	ヴぃ	2
7	てぇ	2
7	ヴぇ	2
6	あぁ	2
6	つぁ	2
6	びゃ	2
6	ぴゃ	2
6	やぁ	2
5	もぉ	2
5	ゃぁ	2
